country,year,uniqueid,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type,uid,bank_account
Rwanda,2016,uniqueid_4033,Rural,Yes,4,25,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,Rwanda_uniqueid_4033,No
Rwanda,2016,uniqueid_808,Rural,Yes,5,37,Male,Other non-relatives,Single/Never Married,Primary education,Informally employed,Rwanda_uniqueid_808,No
Tanzania,2017,uniqueid_2822,Urban,Yes,2,21,Female,Spouse,Single/Never Married,Tertiary education,Self employed,Tanzania_uniqueid_2822,No
Rwanda,2016,uniqueid_7889,Rural,Yes,4,35,Male,Head of Household,Married/Living together,Primary education,Informally employed,Rwanda_uniqueid_7889,Yes
Kenya,2018,uniqueid_4620,Rural,Yes,3,42,Female,Spouse,Single/Never Married,Primary education,Informally employed,Kenya_uniqueid_4620,No
Tanzania,2017,uniqueid_4400,Urban,Yes,4,25,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent,Tanzania_uniqueid_4400,No
Rwanda,2016,uniqueid_2652,Rural,Yes,9,16,Female,Child,Single/Never Married,Secondary education,Remittance Dependent,Rwanda_uniqueid_2652,No
Rwanda,2016,uniqueid_2491,Rural,Yes,7,50,Female,Spouse,Married/Living together,No formal education,Informally employed,Rwanda_uniqueid_2491,No
Tanzania,2017,uniqueid_2692,Rural,No,2,16,Female,Child,Divorced/Seperated,Primary education,Self employed,Tanzania_uniqueid_2692,No
Rwanda,2016,uniqueid_8223,Rural,No,3,36,Female,Spouse,Married/Living together,Primary education,Informally employed,Rwanda_uniqueid_8223,No
Rwanda,2016,uniqueid_6449,Rural,Yes,7,55,Male,Head of Household,Married/Living together,No formal education,Formally employed Government,Rwanda_uniqueid_6449,No
Rwanda,2016,uniqueid_1901,Rural,Yes,3,32,Male,Head of Household,Married/Living together,Primary education,Self employed,Rwanda_uniqueid_1901,Yes
Rwanda,2016,uniqueid_6387,Rural,Yes,4,47,Female,Head of Household,Widowed,Primary education,Farming and Fishing,Rwanda_uniqueid_6387,No
Rwanda,2016,uniqueid_4585,Rural,Yes,6,27,Female,Parent,Single/Never Married,Tertiary education,Remittance Dependent,Rwanda_uniqueid_4585,No
Rwanda,2016,uniqueid_758,Rural,Yes,3,30,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,Rwanda_uniqueid_758,Yes
Rwanda,2016,uniqueid_4044,Rural,Yes,7,46,Male,Head of Household,Married/Living together,No formal education,Informally employed,Rwanda_uniqueid_4044,No
Tanzania,2017,uniqueid_1663,Urban,Yes,1,68,Female,Head of Household,Married/Living together,Primary education,Self employed,Tanzania_uniqueid_1663,No
Rwanda,2016,uniqueid_2092,Rural,Yes,5,53,Female,Spouse,Married/Living together,No formal education,Other Income,Rwanda_uniqueid_2092,No
Tanzania,2017,uniqueid_3430,Rural,Yes,2,34,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent,Tanzania_uniqueid_3430,Yes
Kenya,2018,uniqueid_4424,Rural,Yes,9,38,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed,Kenya_uniqueid_4424,No
Rwanda,2016,uniqueid_6092,Rural,Yes,4,30,Female,Other non-relatives,Single/Never Married,No formal education,Informally employed,Rwanda_uniqueid_6092,No
Rwanda,2016,uniqueid_795,Urban,Yes,7,46,Male,Head of Household,Married/Living together,Primary education,Informally employed,Rwanda_uniqueid_795,No
Rwanda,2016,uniqueid_919,Rural,Yes,3,42,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,Rwanda_uniqueid_919,No
Rwanda,2016,uniqueid_3423,Rural,Yes,4,57,Male,Head of Household,Married/Living together,No formal education,Self employed,Rwanda_uniqueid_3423,No
Tanzania,2017,uniqueid_1045,Rural,Yes,2,55,Male,Head of Household,Single/Never Married,Secondary education,Informally employed,Tanzania_uniqueid_1045,No
Uganda,2018,uniqueid_185,Rural,Yes,1,60,Male,Head of Household,Divorced/Seperated,Primary education,Self employed,Uganda_uniqueid_185,No
Rwanda,2016,uniqueid_1215,Rural,No,7,39,Female,Spouse,Married/Living together,Primary education,Informally employed,Rwanda_uniqueid_1215,No
Kenya,2018,uniqueid_2927,Urban,Yes,4,36,Male,Head of Household,Married/Living together,Secondary education,Informally employed,Kenya_uniqueid_2927,No
Rwanda,2016,uniqueid_3758,Rural,Yes,5,33,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,Rwanda_uniqueid_3758,Yes
Rwanda,2016,uniqueid_3412,Rural,Yes,5,28,Female,Spouse,Married/Living together,Primary education,Informally employed,Rwanda_uniqueid_3412,No
Rwanda,2016,uniqueid_2666,Urban,Yes,4,40,Male,Head of Household,Married/Living together,Primary education,Informally employed,Rwanda_uniqueid_2666,No
Tanzania,2017,uniqueid_5690,Urban,No,2,59,Female,Head of Household,Single/Never Married,No formal education,Self employed,Tanzania_uniqueid_5690,No
Kenya,2018,uniqueid_2014,Urban,Yes,5,48,Female,Head of Household,Married/Living together,Primary education,Self employed,Kenya_uniqueid_2014,No
Tanzania,2017,uniqueid_6189,Urban,No,1,54,Female,Head of Household,Widowed,Primary education,Self employed,Tanzania_uniqueid_6189,No
Kenya,2018,uniqueid_5678,Urban,Yes,2,18,Female,Head of Household,Single/Never Married,Tertiary education,Self employed,Kenya_uniqueid_5678,No
Kenya,2018,uniqueid_948,Rural,Yes,4,55,Female,Head of Household,Widowed,Primary education,Farming and Fishing,Kenya_uniqueid_948,No
Tanzania,2017,uniqueid_3197,Urban,Yes,4,58,Female,Other relative,Single/Never Married,Primary education,Remittance Dependent,Tanzania_uniqueid_3197,No
Kenya,2018,uniqueid_2148,Rural,No,4,16,Female,Child,Single/Never Married,Secondary education,Remittance Dependent,Kenya_uniqueid_2148,No
Rwanda,2016,uniqueid_2721,Rural,No,1,55,Female,Head of Household,Widowed,Primary education,Farming and Fishing,Rwanda_uniqueid_2721,No
Rwanda,2016,uniqueid_1062,Rural,No,2,65,Female,Head of Household,Widowed,No formal education,Informally employed,Rwanda_uniqueid_1062,No
Tanzania,2017,uniqueid_3385,Urban,No,2,29,Female,Spouse,Single/Never Married,No formal education,Informally employed,Tanzania_uniqueid_3385,No
Tanzania,2017,uniqueid_5335,Rural,Yes,2,25,Male,Head of Household,Single/Never Married,Primary education,Informally employed,Tanzania_uniqueid_5335,No
Rwanda,2016,uniqueid_3632,Urban,No,1,72,Female,Head of Household,Widowed,No formal education,Remittance Dependent,Rwanda_uniqueid_3632,No
Tanzania,2017,uniqueid_4134,Urban,No,2,49,Male,Head of Household,Single/Never Married,Primary education,Self employed,Tanzania_uniqueid_4134,No
Rwanda,2016,uniqueid_4888,Rural,No,7,39,Female,Spouse,Married/Living together,No formal education,Informally employed,Rwanda_uniqueid_4888,No
Rwanda,2016,uniqueid_774,Rural,No,1,63,Female,Head of Household,Married/Living together,No formal education,Farming and Fishing,Rwanda_uniqueid_774,No
Uganda,2018,uniqueid_1281,Rural,Yes,1,27,Male,Head of Household,Single/Never Married,Secondary education,Self employed,Uganda_uniqueid_1281,No
Kenya,2018,uniqueid_2074,Rural,Yes,3,46,Female,Child,Divorced/Seperated,Primary education,Informally employed,Kenya_uniqueid_2074,No
Rwanda,2016,uniqueid_3663,Rural,Yes,6,22,Female,Child,Single/Never Married,Primary education,Farming and Fishing,Rwanda_uniqueid_3663,No
Tanzania,2017,uniqueid_5670,Urban,No,2,31,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent,Tanzania_uniqueid_5670,No
Tanzania,2017,uniqueid_5394,Urban,No,3,36,Female,Spouse,Single/Never Married,Primary education,Self employed,Tanzania_uniqueid_5394,No
Rwanda,2016,uniqueid_1667,Rural,Yes,5,17,Male,Child,Single/Never Married,Primary education,Informally employed,Rwanda_uniqueid_1667,No
Kenya,2018,uniqueid_886,Rural,Yes,2,46,Male,Child,Single/Never Married,Secondary education,Self employed,Kenya_uniqueid_886,Yes
Rwanda,2016,uniqueid_5267,Rural,Yes,5,48,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing,Rwanda_uniqueid_5267,No
Rwanda,2016,uniqueid_8556,Rural,Yes,9,60,Male,Head of Household,Married/Living together,No formal education,Remittance Dependent,Rwanda_uniqueid_8556,No
Tanzania,2017,uniqueid_530,Urban,No,2,46,Male,Head of Household,Single/Never Married,Primary education,Informally employed,Tanzania_uniqueid_530,No
Rwanda,2016,uniqueid_1262,Rural,No,5,17,Male,Child,Single/Never Married,Primary education,Informally employed,Rwanda_uniqueid_1262,No
Rwanda,2016,uniqueid_4133,Rural,Yes,4,31,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,Rwanda_uniqueid_4133,No
Kenya,2018,uniqueid_3896,Urban,Yes,5,37,Female,Spouse,Married/Living together,Primary education,Self employed,Kenya_uniqueid_3896,Yes
Tanzania,2017,uniqueid_6380,Urban,No,3,48,Female,Spouse,Single/Never Married,No formal education,Self employed,Tanzania_uniqueid_6380,No
Uganda,2018,uniqueid_1193,Rural,Yes,6,35,Female,Spouse,Married/Living together,Primary education,Self employed,Uganda_uniqueid_1193,No
Rwanda,2016,uniqueid_2182,Rural,Yes,5,20,Female,Spouse,Married/Living together,Primary education,Informally employed,Rwanda_uniqueid_2182,No
Tanzania,2017,uniqueid_1700,Urban,No,2,20,Female,Spouse,Single/Never Married,Primary education,Informally employed,Tanzania_uniqueid_1700,No
Rwanda,2016,uniqueid_1945,Urban,Yes,5,52,Female,Head of Household,Widowed,Secondary education,Self employed,Rwanda_uniqueid_1945,Yes
Uganda,2018,uniqueid_1546,Rural,No,8,43,Female,Spouse,Married/Living together,Primary education,Self employed,Uganda_uniqueid_1546,No
Rwanda,2016,uniqueid_4524,Rural,Yes,7,31,Female,Spouse,Married/Living together,Secondary education,Self employed,Rwanda_uniqueid_4524,No
Tanzania,2017,uniqueid_5214,Urban,Yes,1,35,Female,Head of Household,Single/Never Married,No formal education,Informally employed,Tanzania_uniqueid_5214,No
Tanzania,2017,uniqueid_3360,Rural,Yes,1,48,Female,Head of Household,Widowed,Primary education,Self employed,Tanzania_uniqueid_3360,No
Tanzania,2017,uniqueid_3757,Urban,Yes,1,45,Female,Head of Household,Single/Never Married,Primary education,Self employed,Tanzania_uniqueid_3757,No
Kenya,2018,uniqueid_1469,Rural,Yes,3,79,Male,Head of Household,Widowed,Primary education,Farming and Fishing,Kenya_uniqueid_1469,Yes
Rwanda,2016,uniqueid_4483,Rural,No,1,79,Female,Head of Household,Married/Living together,No formal education,Other Income,Rwanda_uniqueid_4483,No
Kenya,2018,uniqueid_2723,Urban,Yes,4,41,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing,Kenya_uniqueid_2723,No
Kenya,2018,uniqueid_5420,Rural,Yes,3,53,Female,Spouse,Married/Living together,Secondary education,Informally employed,Kenya_uniqueid_5420,No
Tanzania,2017,uniqueid_6085,Urban,Yes,3,22,Female,Child,Divorced/Seperated,Tertiary education,Self employed,Tanzania_uniqueid_6085,No
Uganda,2018,uniqueid_1061,Rural,Yes,6,52,Male,Head of Household,Married/Living together,Vocational/Specialised training,Self employed,Uganda_uniqueid_1061,No
Uganda,2018,uniqueid_284,Urban,Yes,4,28,Female,Spouse,Married/Living together,Primary education,Self employed,Uganda_uniqueid_284,Yes
Rwanda,2016,uniqueid_6606,Rural,Yes,6,69,Female,Head of Household,Widowed,No formal education,Farming and Fishing,Rwanda_uniqueid_6606,No
Kenya,2018,uniqueid_6042,Rural,Yes,6,41,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,Kenya_uniqueid_6042,No
Rwanda,2016,uniqueid_5994,Rural,Yes,6,18,Female,Child,Single/Never Married,Secondary education,Informally employed,Rwanda_uniqueid_5994,Yes
Rwanda,2016,uniqueid_8521,Rural,Yes,5,35,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,Rwanda_uniqueid_8521,Yes
Kenya,2018,uniqueid_2162,Rural,No,4,60,Female,Head of Household,Married/Living together,No formal education,Farming and Fishing,Kenya_uniqueid_2162,No
Rwanda,2016,uniqueid_3180,Rural,Yes,9,16,Female,Child,Single/Never Married,Secondary education,Remittance Dependent,Rwanda_uniqueid_3180,No
Tanzania,2017,uniqueid_6195,Urban,No,3,17,Male,Parent,Divorced/Seperated,Secondary education,Remittance Dependent,Tanzania_uniqueid_6195,No
Tanzania,2017,uniqueid_5524,Urban,Yes,2,25,Male,Head of Household,Single/Never Married,Secondary education,Informally employed,Tanzania_uniqueid_5524,No
Rwanda,2016,uniqueid_7825,Rural,Yes,7,48,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,Rwanda_uniqueid_7825,No
Tanzania,2017,uniqueid_931,Rural,No,3,16,Male,Parent,Divorced/Seperated,Primary education,Self employed,Tanzania_uniqueid_931,No
Rwanda,2016,uniqueid_4049,Rural,Yes,5,73,Female,Head of Household,Widowed,No formal education,Farming and Fishing,Rwanda_uniqueid_4049,No
Rwanda,2016,uniqueid_1198,Rural,Yes,6,56,Male,Head of Household,Married/Living together,No formal education,Informally employed,Rwanda_uniqueid_1198,No
Tanzania,2017,uniqueid_5651,Urban,Yes,2,36,Female,Spouse,Single/Never Married,Primary education,Self employed,Tanzania_uniqueid_5651,No
Rwanda,2016,uniqueid_3240,Rural,Yes,9,27,Female,Child,Single/Never Married,Primary education,Farming and Fishing,Rwanda_uniqueid_3240,No
Kenya,2018,uniqueid_3937,Rural,No,5,19,Male,Other relative,Single/Never Married,Primary education,Informally employed,Kenya_uniqueid_3937,No
Rwanda,2016,uniqueid_5658,Rural,No,4,56,Female,Head of Household,Divorced/Seperated,No formal education,Farming and Fishing,Rwanda_uniqueid_5658,No
Uganda,2018,uniqueid_315,Urban,Yes,3,25,Female,Spouse,Married/Living together,Vocational/Specialised training,Formally employed Private,Uganda_uniqueid_315,Yes
Tanzania,2017,uniqueid_241,Urban,No,3,28,Male,Child,Single/Never Married,Primary education,Informally employed,Tanzania_uniqueid_241,No
Kenya,2018,uniqueid_4208,Urban,Yes,9,18,Male,Child,Single/Never Married,Secondary education,Remittance Dependent,Kenya_uniqueid_4208,No
Rwanda,2016,uniqueid_7966,Rural,Yes,5,29,Female,Spouse,Married/Living together,Primary education,Informally employed,Rwanda_uniqueid_7966,No
Kenya,2018,uniqueid_2150,Rural,No,5,43,Female,Head of Household,Widowed,No formal education,Farming and Fishing,Kenya_uniqueid_2150,No
Tanzania,2017,uniqueid_3801,Rural,No,2,19,Female,Spouse,Single/Never Married,Primary education,Self employed,Tanzania_uniqueid_3801,No
Kenya,2018,uniqueid_75,Rural,Yes,4,55,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,Kenya_uniqueid_75,Yes
Tanzania,2017,uniqueid_4113,Urban,No,2,40,Female,Head of Household,Married/Living together,Primary education,Government Dependent,Tanzania_uniqueid_4113,No
Kenya,2018,uniqueid_4017,Urban,Yes,3,22,Female,Spouse,Married/Living together,Secondary education,Remittance Dependent,Kenya_uniqueid_4017,No
Tanzania,2017,uniqueid_3196,Urban,Yes,1,35,Male,Head of Household,Married/Living together,Primary education,Self employed,Tanzania_uniqueid_3196,No
Rwanda,2016,uniqueid_6974,Rural,Yes,8,17,Male,Child,Single/Never Married,Vocational/Specialised training,Informally employed,Rwanda_uniqueid_6974,No
Rwanda,2016,uniqueid_8528,Rural,Yes,4,52,Female,Parent,Single/Never Married,Secondary education,Farming and Fishing,Rwanda_uniqueid_8528,No
Kenya,2018,uniqueid_3933,Rural,Yes,4,28,Female,Head of Household,Divorced/Seperated,Secondary education,Informally employed,Kenya_uniqueid_3933,No
Rwanda,2016,uniqueid_8609,Rural,Yes,3,25,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,Rwanda_uniqueid_8609,No
Tanzania,2017,uniqueid_3299,Urban,No,1,52,Male,Head of Household,Single/Never Married,Primary education,Self employed,Tanzania_uniqueid_3299,No
Tanzania,2017,uniqueid_700,Rural,No,2,19,Female,Spouse,Single/Never Married,Primary education,Self employed,Tanzania_uniqueid_700,No
Kenya,2018,uniqueid_2510,Urban,No,3,60,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,Kenya_uniqueid_2510,No
Rwanda,2016,uniqueid_1214,Rural,Yes,4,65,Male,Head of Household,Married/Living together,Primary education,Informally employed,Rwanda_uniqueid_1214,No
Rwanda,2016,uniqueid_3177,Rural,Yes,4,28,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,Rwanda_uniqueid_3177,No
Tanzania,2017,uniqueid_4748,Urban,Yes,2,22,Male,Head of Household,Single/Never Married,Primary education,Self employed,Tanzania_uniqueid_4748,No
Kenya,2018,uniqueid_4068,Rural,No,9,42,Female,Spouse,Married/Living together,No formal education,Farming and Fishing,Kenya_uniqueid_4068,No
Rwanda,2016,uniqueid_7033,Urban,Yes,6,26,Female,Other relative,Single/Never Married,Primary education,Informally employed,Rwanda_uniqueid_7033,No
Kenya,2018,uniqueid_3146,Urban,Yes,7,21,Female,Other relative,Single/Never Married,Secondary education,Remittance Dependent,Kenya_uniqueid_3146,No
Tanzania,2017,uniqueid_5979,Urban,No,2,63,Male,Head of Household,Single/Never Married,Primary education,Self employed,Tanzania_uniqueid_5979,No
Rwanda,2016,uniqueid_2630,Rural,Yes,6,43,Female,Head of Household,Divorced/Seperated,Primary education,Farming and Fishing,Rwanda_uniqueid_2630,No
Kenya,2018,uniqueid_5132,Urban,Yes,3,30,Male,Head of Household,Married/Living together,Secondary education,Self employed,Kenya_uniqueid_5132,Yes
Rwanda,2016,uniqueid_1329,Rural,Yes,4,23,Female,Parent,Single/Never Married,Primary education,Farming and Fishing,Rwanda_uniqueid_1329,No
Tanzania,2017,uniqueid_4298,Urban,Yes,2,30,Male,Head of Household,Single/Never Married,Primary education,Self employed,Tanzania_uniqueid_4298,No
Rwanda,2016,uniqueid_5493,Urban,Yes,4,45,Female,Spouse,Single/Never Married,Primary education,Informally employed,Rwanda_uniqueid_5493,No
Tanzania,2017,uniqueid_5188,Urban,Yes,3,60,Female,Child,Widowed,Primary education,No Income,Tanzania_uniqueid_5188,No
Tanzania,2017,uniqueid_5353,Urban,Yes,2,35,Male,Head of Household,Single/Never Married,Primary education,Self employed,Tanzania_uniqueid_5353,No
Tanzania,2017,uniqueid_5801,Urban,Yes,2,35,Male,Head of Household,Single/Never Married,No formal education,Self employed,Tanzania_uniqueid_5801,No
Kenya,2018,uniqueid_2543,Urban,Yes,1,40,Male,Head of Household,Divorced/Seperated,No formal education,Self employed,Kenya_uniqueid_2543,No
Rwanda,2016,uniqueid_6,Rural,Yes,4,64,Female,Head of Household,Widowed,No formal education,Self employed,Rwanda_uniqueid_6,No
Tanzania,2017,uniqueid_2990,Rural,Yes,2,66,Female,Head of Household,Widowed,No formal education,Remittance Dependent,Tanzania_uniqueid_2990,No
Kenya,2018,uniqueid_238,Rural,Yes,4,33,Male,Head of Household,Married/Living together,Secondary education,Self employed,Kenya_uniqueid_238,No
Tanzania,2017,uniqueid_1682,Urban,Yes,1,43,Female,Head of Household,Married/Living together,Primary education,Self employed,Tanzania_uniqueid_1682,No
Tanzania,2017,uniqueid_5232,Urban,No,6,25,Male,Parent,Divorced/Seperated,Primary education,Self employed,Tanzania_uniqueid_5232,No
Tanzania,2017,uniqueid_5604,Urban,Yes,2,51,Female,Head of Household,Widowed,Primary education,Formally employed Private,Tanzania_uniqueid_5604,Yes
Kenya,2018,uniqueid_5193,Urban,Yes,2,23,Female,Spouse,Married/Living together,Primary education,Remittance Dependent,Kenya_uniqueid_5193,Yes
Kenya,2018,uniqueid_4767,Rural,Yes,8,40,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,Kenya_uniqueid_4767,Yes
Kenya,2018,uniqueid_1621,Urban,Yes,2,34,Male,Head of Household,Married/Living together,Secondary education,Informally employed,Kenya_uniqueid_1621,No
Rwanda,2016,uniqueid_2726,Rural,No,4,74,Female,Head of Household,Widowed,No formal education,Informally employed,Rwanda_uniqueid_2726,No
Kenya,2018,uniqueid_1309,Rural,Yes,2,35,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed,Kenya_uniqueid_1309,No
Rwanda,2016,uniqueid_8307,Rural,Yes,9,33,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,Rwanda_uniqueid_8307,No
Kenya,2018,uniqueid_1583,Rural,Yes,5,38,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,Kenya_uniqueid_1583,No
Tanzania,2017,uniqueid_4937,Rural,Yes,2,38,Male,Head of Household,Single/Never Married,Primary education,Self employed,Tanzania_uniqueid_4937,Yes
Kenya,2018,uniqueid_2432,Rural,No,2,69,Female,Head of Household,Widowed,No formal education,Self employed,Kenya_uniqueid_2432,No
Uganda,2018,uniqueid_1522,Urban,Yes,5,21,Female,Parent,Single/Never Married,Primary education,No Income,Uganda_uniqueid_1522,No
Kenya,2018,uniqueid_1045,Urban,Yes,1,19,Male,Head of Household,Single/Never Married,Primary education,Informally employed,Kenya_uniqueid_1045,No
Uganda,2018,uniqueid_1578,Rural,Yes,9,44,Female,Spouse,Married/Living together,No formal education,No Income,Uganda_uniqueid_1578,No
Kenya,2018,uniqueid_5010,Urban,Yes,8,17,Male,Child,Single/Never Married,Primary education,Remittance Dependent,Kenya_uniqueid_5010,No
Rwanda,2016,uniqueid_1566,Urban,Yes,3,33,Female,Spouse,Married/Living together,Primary education,Self employed,Rwanda_uniqueid_1566,No
Rwanda,2016,uniqueid_4864,Rural,Yes,4,36,Female,Child,Single/Never Married,No formal education,Government Dependent,Rwanda_uniqueid_4864,No
Tanzania,2017,uniqueid_4477,Rural,Yes,1,25,Male,Head of Household,Divorced/Seperated,Tertiary education,Formally employed Private,Tanzania_uniqueid_4477,No
Kenya,2018,uniqueid_5796,Rural,No,8,17,Male,Child,Single/Never Married,Primary education,Remittance Dependent,Kenya_uniqueid_5796,No
Kenya,2018,uniqueid_5492,Rural,Yes,7,40,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,Kenya_uniqueid_5492,Yes
Tanzania,2017,uniqueid_4987,Urban,Yes,2,43,Male,Head of Household,Single/Never Married,Primary education,Self employed,Tanzania_uniqueid_4987,No
Rwanda,2016,uniqueid_5730,Rural,Yes,2,77,Female,Head of Household,Widowed,No formal education,Farming and Fishing,Rwanda_uniqueid_5730,No
Rwanda,2016,uniqueid_7884,Rural,Yes,5,27,Male,Child,Single/Never Married,Primary education,Farming and Fishing,Rwanda_uniqueid_7884,No
Kenya,2018,uniqueid_1601,Urban,Yes,2,25,Male,Head of Household,Married/Living together,Tertiary education,Formally employed Government,Kenya_uniqueid_1601,Yes
Tanzania,2017,uniqueid_4743,Urban,Yes,2,33,Male,Head of Household,Single/Never Married,Primary education,Self employed,Tanzania_uniqueid_4743,No
Kenya,2018,uniqueid_1850,Rural,Yes,2,46,Female,Spouse,Married/Living together,Tertiary education,Farming and Fishing,Kenya_uniqueid_1850,Yes
Kenya,2018,uniqueid_1753,Rural,Yes,3,38,Female,Head of Household,Single/Never Married,Primary education,Informally employed,Kenya_uniqueid_1753,No
Kenya,2018,uniqueid_2041,Rural,No,5,25,Female,Head of Household,Married/Living together,No formal education,Remittance Dependent,Kenya_uniqueid_2041,No
Rwanda,2016,uniqueid_1898,Rural,Yes,5,35,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,Rwanda_uniqueid_1898,No
Kenya,2018,uniqueid_5232,Urban,Yes,4,38,Male,Spouse,Married/Living together,Secondary education,Informally employed,Kenya_uniqueid_5232,Yes
Kenya,2018,uniqueid_547,Rural,Yes,8,40,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,Kenya_uniqueid_547,Yes
Rwanda,2016,uniqueid_132,Rural,No,4,28,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,Rwanda_uniqueid_132,No
Kenya,2018,uniqueid_5148,Urban,Yes,10,46,Female,Spouse,Married/Living together,No formal education,Remittance Dependent,Kenya_uniqueid_5148,No
Rwanda,2016,uniqueid_4670,Rural,Yes,3,18,Male,Child,Single/Never Married,Primary education,Farming and Fishing,Rwanda_uniqueid_4670,No
Rwanda,2016,uniqueid_6124,Rural,Yes,3,22,Male,Head of Household,Single/Never Married,Primary education,Farming and Fishing,Rwanda_uniqueid_6124,No
Rwanda,2016,uniqueid_4627,Rural,Yes,1,63,Female,Head of Household,Widowed,No formal education,Informally employed,Rwanda_uniqueid_4627,No
Tanzania,2017,uniqueid_4281,Urban,No,5,22,Male,Parent,Divorced/Seperated,No formal education,Self employed,Tanzania_uniqueid_4281,No
Rwanda,2016,uniqueid_1102,Rural,Yes,3,32,Male,Head of Household,Married/Living together,No formal education,Informally employed,Rwanda_uniqueid_1102,Yes
Tanzania,2017,uniqueid_1757,Urban,Yes,3,22,Female,Parent,Divorced/Seperated,Primary education,No Income,Tanzania_uniqueid_1757,No
Uganda,2018,uniqueid_436,Rural,Yes,6,46,Female,Spouse,Married/Living together,Primary education,Self employed,Uganda_uniqueid_436,No
Tanzania,2017,uniqueid_6090,Urban,Yes,2,35,Male,Head of Household,Single/Never Married,Primary education,Self employed,Tanzania_uniqueid_6090,No
Uganda,2018,uniqueid_728,Rural,Yes,3,31,Female,Head of Household,Divorced/Seperated,Primary education,Self employed,Uganda_uniqueid_728,No
Rwanda,2016,uniqueid_8587,Rural,Yes,6,52,Female,Head of Household,Single/Never Married,Primary education,Self employed,Rwanda_uniqueid_8587,No
Tanzania,2017,uniqueid_500,Urban,No,1,44,Female,Head of Household,Married/Living together,Primary education,No Income,Tanzania_uniqueid_500,No
Tanzania,2017,uniqueid_772,Rural,Yes,2,27,Female,Spouse,Single/Never Married,Tertiary education,Remittance Dependent,Tanzania_uniqueid_772,No
Rwanda,2016,uniqueid_4350,Rural,Yes,2,47,Female,Head of Household,Widowed,Primary education,Informally employed,Rwanda_uniqueid_4350,No
Tanzania,2017,uniqueid_4248,Urban,Yes,2,53,Female,Head of Household,Single/Never Married,Tertiary education,Self employed,Tanzania_uniqueid_4248,Yes
Tanzania,2017,uniqueid_3089,Rural,Yes,3,40,Male,Head of Household,Single/Never Married,No formal education,Self employed,Tanzania_uniqueid_3089,No
Rwanda,2016,uniqueid_3251,Urban,Yes,4,24,Male,Child,Single/Never Married,Primary education,Informally employed,Rwanda_uniqueid_3251,No
Rwanda,2016,uniqueid_8023,Rural,Yes,7,41,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,Rwanda_uniqueid_8023,No
Kenya,2018,uniqueid_4066,Rural,No,1,74,Female,Head of Household,Widowed,No formal education,Remittance Dependent,Kenya_uniqueid_4066,No
Tanzania,2017,uniqueid_6479,Urban,No,3,80,Male,Spouse,Single/Never Married,No formal education,Remittance Dependent,Tanzania_uniqueid_6479,No
Kenya,2018,uniqueid_1295,Rural,Yes,7,16,Male,Child,Single/Never Married,Secondary education,Self employed,Kenya_uniqueid_1295,No
Tanzania,2017,uniqueid_764,Urban,Yes,2,17,Male,Other relative,Divorced/Seperated,Secondary education,Self employed,Tanzania_uniqueid_764,No
Kenya,2018,uniqueid_2001,Rural,Yes,4,62,Male,Head of Household,Married/Living together,Primary education,Self employed,Kenya_uniqueid_2001,Yes
Kenya,2018,uniqueid_2064,Urban,Yes,7,42,Female,Spouse,Married/Living together,Secondary education,Self employed,Kenya_uniqueid_2064,Yes
Uganda,2018,uniqueid_1290,Rural,Yes,1,24,Male,Head of Household,Single/Never Married,Secondary education,Self employed,Uganda_uniqueid_1290,No
Kenya,2018,uniqueid_1508,Urban,Yes,10,47,Male,Head of Household,Married/Living together,No formal education,Self employed,Kenya_uniqueid_1508,No
Rwanda,2016,uniqueid_616,Rural,Yes,2,30,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,Rwanda_uniqueid_616,No
